archetype,scenario,seed,year,treasury,tax,trade,upkeep,net,routes,resTotal,gold,iron,timber,horses
passive,baseline,19,80,4065,197,16,67,146,0,1009,3,15,60,42
passive,baseline,19,81,4243,189,16,69,136,0,1021,3,15,60,46
passive,baseline,19,82,4352,192,16,69,139,0,1033,3,15,60,50
passive,baseline,19,83,4491,191,16,69,138,0,1045,3,15,60,54
passive,baseline,19,84,4633,195,16,69,142,0,1057,3,15,60,58
passive,baseline,19,85,4746,166,16,69,113,0,1069,3,15,60,62
passive,baseline,19,86,4885,188,16,65,139,0,1081,3,15,60,66
passive,baseline,19,87,4996,159,16,64,111,0,1093,3,15,60,70
passive,baseline,19,88,5120,173,16,64,125,0,1105,3,15,60,74
passive,baseline,19,89,5251,182,16,67,131,0,1117,3,15,60,78
passive,baseline,19,90,5387,189,16,68,137,0,1129,3,15,60,82
passive,baseline,19,91,5635,193,16,68,141,0,1141,3,15,60,86
passive,baseline,19,92,5857,204,16,68,152,0,1153,3,15,60,90
passive,baseline,19,93,6047,244,16,70,190,0,1165,3,15,60,94
passive,baseline,19,94,6140,222,16,72,166,0,1177,3,15,60,98
passive,baseline,19,95,6288,204,16,72,148,0,1210,3,15,60,102
passive,baseline,19,96,6442,226,16,72,170,0,1222,3,15,60,106
passive,baseline,19,97,6688,232,16,72,176,0,1234,3,15,60,110
passive,baseline,19,98,6870,238,16,72,182,0,1246,3,15,60,114
passive,baseline,19,99,7091,278,16,72,222,0,1258,3,15,60,118
passive,baseline,19,100,7249,214,16,72,158,0,1270,3,15,60,122
passive,baseline,42,1,135,25,16,46,-5,0,175,3,15,60,12
passive,baseline,42,2,130,26,16,46,-4,0,183,3,15,60,12
passive,baseline,42,3,103,28,16,46,-2,0,191,3,15,60,12
passive,baseline,42,4,96,24,16,46,-6,0,199,3,15,60,12
passive,baseline,42,5,84,24,16,46,-6,0,207,3,15,60,12
passive,baseline,42,6,39,24,16,46,-6,0,215,3,15,60,12
passive,baseline,42,7,32,24,16,46,-6,0,223,3,15,60,12
passive,baseline,42,8,89,22,16,46,-8,0,231,3,15,60,12
passive,baseline,42,9,82,23,16,46,-7,0,239,3,15,60,12
passive,baseline,42,10,75,24,16,46,-6,0,247,3,15,60,12
passive,baseline,42,11,70,25,16,46,-5,0,255,3,15,60,12
passive,baseline,42,12,64,28,16,49,-5,0,263,3,15,60,12
passive,baseline,42,13,58,28,16,50,-6,0,271,3,15,60,12
passive,baseline,42,14,141,25,16,50,-9,0,279,3,15,60,12
passive,baseline,42,15,84,28,16,50,-6,0,287,3,15,60,12
passive,baseline,42,16,78,28,16,50,-6,0,310,3,15,60,12
passive,baseline,42,17,77,32,16,49,-1,0,303,3,15,60,12
passive,baseline,42,18,72,29,16,49,-4,0,311,3,15,60,12
passive,baseline,42,19,67,28,16,49,-5,0,319,3,15,60,12
passive,baseline,42,20,88,32,16,49,-1,0,329,3,15,60,14
passive,baseline,42,21,0,28,16,48,-4,0,351,3,15,60,14
passive,baseline,42,22,0,28,16,48,-4,0,359,3,15,60,14
passive,baseline,42,23,0,28,16,48,-4,0,367,3,15,60,14
passive,baseline,42,24,0,28,16,47,-3,0,375,3,15,60,14
passive,baseline,42,25,0,28,16,47,-3,0,383,3,15,60,14
passive,baseline,42,26,0,28,16,45,-1,0,391,3,15,60,14
passive,baseline,42,27,0,28,16,44,0,0,399,3,15,60,14
passive,baseline,42,28,0,25,16,44,-3,0,407,3,15,60,14
passive,baseline,42,29,75,28,16,44,0,0,433,3,15,60,14
passive,baseline,42,30,0,24,16,44,-4,0,441,3,15,60,14
passive,baseline,42,31,0,24,16,44,-4,0,449,3,15,60,14
passive,baseline,42,32,0,22,16,44,-6,0,457,3,15,60,14
passive,baseline,42,33,0,27,16,44,-1,0,465,3,15,60,14
passive,baseline,42,34,0,24,16,44,-4,0,473,3,15,60,14
passive,baseline,42,35,0,24,16,44,-4,0,481,3,15,60,14
passive,baseline,42,36,0,30,16,48,-2,0,489,3,15,60,14
passive,baseline,42,37,0,28,16,48,-4,0,497,3,15,60,14
passive,baseline,42,38,84,28,16,48,-4,0,505,3,15,60,14
passive,baseline,42,39,78,26,16,48,-6,0,514,3,15,60,15
passive,baseline,42,40,0,30,16,48,-2,0,524,3,15,60,17
passive,baseline,42,41,0,29,16,48,-3,0,536,3,15,60,21
passive,baseline,42,42,0,32,16,48,0,0,548,3,15,60,25
passive,baseline,42,43,0,32,16,48,0,0,560,3,15,60,29
passive,baseline,42,44,0,35,16,48,3,0,572,3,15,60,33
passive,baseline,42,45,1,30,16,48,-2,0,584,3,15,60,37
conquest,baseline,7,1,103,27,16,53,-10,0,184,3,16,65,12
conquest,baseline,7,2,48,24,16,54,-14,0,195,3,17,68,12
conquest,baseline,7,3,0,26,16,55,-13,0,199,3,17,68,12
conquest,baseline,7,4,0,28,16,58,-14,0,233,3,17,68,12
conquest,baseline,7,5,0,28,16,57,-13,0,237,3,17,68,12
conquest,baseline,7,6,0,25,16,59,-18,0,241,3,17,68,12
conquest,baseline,7,7,0,25,16,65,-24,0,245,3,17,68,12
conquest,baseline,7,8,0,26,16,65,-23,0,249,3,17,68,12
conquest,baseline,7,9,28,28,16,64,-20,0,253,3,17,68,12
conquest,baseline,7,10,82,28,16,65,-21,0,257,3,17,68,12
conquest,baseline,7,11,34,32,16,64,-16,0,261,3,17,68,12
conquest,baseline,7,12,18,33,16,64,-15,0,265,3,17,68,12
conquest,baseline,7,13,0,32,16,64,-16,0,269,3,17,68,12
conquest,baseline,7,14,0,35,16,66,-15,0,273,3,17,68,12
conquest,baseline,7,15,0,32,16,72,-24,0,277,3,17,68,12
conquest,baseline,7,16,0,32,16,72,-24,0,281,3,17,68,12
conquest,baseline,7,17,0,36,16,72,-20,0,298,3,17,68,12
conquest,baseline,7,18,0,38,16,72,-18,0,302,3,17,68,12
conquest,baseline,7,19,0,34,16,72,-22,0,306,3,17,68,12
conquest,baseline,7,20,0,34,16,72,-22,0,310,3,17,68,12
conquest,baseline,7,21,0,44,16,72,-12,0,314,3,17,68,12
conquest,baseline,7,22,0,36,16,72,-20,0,318,3,17,68,12
conquest,baseline,7,23,62,47,19,80,-14,0,402,10,27,100,14
conquest,baseline,7,24,39,70,28,89,9,0,423,10,27,108,23
conquest,baseline,7,25,2,72,28,81,19,0,443,10,27,114,33
conquest,baseline,7,26,9,52,28,73,7,0,447,10,27,114,33
conquest,baseline,7,27,9,47,28,75,0,0,453,10,27,114,33
conquest,baseline,7,28,6,52,28,72,8,0,461,10,27,114,33
conquest,baseline,7,29,2,52,28,72,8,0,469,10,27,114,33
conquest,baseline,7,30,0,56,28,74,10,0,477,10,27,114,33
conquest,baseline,7,31,7,54,28,75,7,0,485,10,27,114,33
conquest,baseline,7,32,10,51,28,76,3,0,515,10,49,114,33
conquest,baseline,7,33,39,52,28,76,4,0,523,10,49,114,33
conquest,baseline,7,34,109,68,28,77,19,0,531,10,49,114,33
conquest,baseline,7,35,68,64,28,77,15,0,541,10,49,115,33
conquest,baseline,7,36,101,76,28,86,18,0,627,10,58,141,33
conquest,baseline,7,37,51,90,28,96,22,0,658,10,58,141,33
conquest,baseline,7,38,51,102,32,101,33,0,765,17,82,157,33
conquest,baseline,19,1,50,20,16,58,-22,0,146,3,12,53,12
conquest,baseline,19,2,42,24,16,57,-17,0,155,3,13,56,12
conquest,baseline,19,3,0,20,16,59,-23,0,157,3,13,56,12
conquest,baseline,19,4,0,26,16,64,-22,0,159,3,13,56,12
conquest,baseline,19,5,0,26,16,64,-22,0,165,3,13,56,12
conquest,baseline,19,6,0,28,16,64,-20,0,171,3,13,56,12
conquest,baseline,19,7,0,28,16,66,-22,0,177,3,13,56,12
conquest,baseline,19,8,0,28,16,72,-28,0,183,3,13,56,12
conquest,baseline,19,9,0,36,16,72,-20,0,189,3,13,56,12
conquest,baseline,19,10,35,35,16,73,-22,0,195,3,13,56,12
conquest,baseline,19,11,24,47,16,74,-11,0,219,3,13,56,12
conquest,baseline,19,12,10,44,16,74,-14,0,225,3,13,56,12
conquest,baseline,19,13,18,40,16,75,-19,0,231,3,13,56,12
conquest,baseline,19,14,0,44,16,77,-17,0,237,3,13,56,12
conquest,baseline,19,15,0,44,16,75,-15,0,243,3,13,56,12
conquest,baseline,19,16,0,46,16,74,-12,0,249,3,13,56,12
conquest,baseline,19,17,0,48,16,73,-9,0,273,3,13,56,12
conquest,baseline,19,18,0,48,16,73,-9,0,277,3,13,56,12
conquest,baseline,19,19,0,48,16,73,-9,0,281,3,13,56,12
conquest,baseline,19,20,2,54,16,73,-3,0,285,3,13,56,12
conquest,baseline,19,21,0,48,16,76,-12,0,313,3,13,56,12
conquest,baseline,19,22,27,52,16,77,-9,0,317,3,13,56,12
conquest,baseline,42,1,56,25,16,53,-12,0,175,3,15,60,12
conquest,baseline,42,2,0,26,16,52,-10,0,190,3,16,63,12
conquest,baseline,42,3,0,28,16,52,-8,0,198,3,16,63,12
conquest,baseline,42,4,0,24,16,52,-12,0,206,3,16,63,12
conquest,baseline,42,5,42,24,16,52,-12,0,214,3,16,63,12
conquest,baseline,42,6,0,24,16,54,-14,0,222,3,16,63,12
conquest,baseline,42,7,0,24,16,60,-20,0,230,3,16,63,12
conquest,baseline,42,8,43,22,16,60,-22,0,238,3,16,63,12
conquest,baseline,42,9,22,23,16,60,-21,0,246,3,16,63,12
conquest,baseline,42,10,2,24,16,60,-20,0,254,3,16,63,12
conquest,baseline,42,11,0,25,16,60,-19,0,262,3,16,63,12
conquest,baseline,42,12,0,28,16,63,-19,0,270,3,16,63,12
conquest,baseline,42,13,0,28,16,64,-20,0,278,3,16,63,12
conquest,baseline,42,14,0,25,16,66,-25,0,286,3,16,63,12
conquest,baseline,42,15,0,28,16,72,-28,0,294,3,16,63,12
conquest,baseline,42,16,0,28,16,72,-28,0,317,3,16,63,12
conquest,baseline,42,17,0,32,16,72,-24,0,310,3,16,63,12
conquest,baseline,42,18,0,29,16,72,-27,0,318,3,16,63,12
conquest,baseline,42,19,0,28,16,72,-28,0,326,3,16,63,12
conquest,baseline,42,20,0,30,16,72,-26,0,334,3,16,63,12
conquest,baseline,42,21,0,28,16,69,-25,0,356,3,16,63,12
conquest,baseline,42,22,0,28,16,70,-26,0,364,3,16,63,12
conquest,baseline,42,23,0,28,16,72,-28,0,372,3,16,63,12
conquest,baseline,42,24,0,25,16,70,-29,0,382,3,16,63,12
conquest,baseline,42,25,0,24,16,68,-28,0,394,3,16,63,12
faith,baseline,7,1,49,22,16,54,-16,0,155,3,15,60,12
faith,baseline,7,2,0,20,16,54,-18,0,157,3,15,60,12
faith,baseline,7,3,0,20,16,54,-18,0,159,3,15,60,12
faith,baseline,7,4,0,20,16,56,-20,0,190,3,15,60,12
faith,baseline,7,5,0,20,16,55,-19,0,190,3,15,60,12
faith,baseline,7,6,0,18,16,52,-18,0,190,3,15,60,12
faith,baseline,7,7,0,18,16,52,-18,0,190,3,15,60,12
faith,baseline,7,8,0,17,16,54,-21,0,190,3,15,60,12
faith,baseline,7,9,0,17,16,60,-27,0,190,3,15,60,12
faith,baseline,7,10,0,17,16,60,-27,0,176,3,15,60,12
faith,baseline,7,11,0,20,16,60,-24,0,176,3,15,60,12
faith,baseline,7,12,0,21,16,60,-23,0,178,3,15,60,12
faith,baseline,7,13,0,20,16,60,-24,0,180,3,15,60,12
faith,baseline,7,14,0,21,16,60,-23,0,182,3,15,60,12
faith,baseline,7,15,0,20,16,60,-24,0,184,3,15,60,12
faith,baseline,7,16,0,20,16,60,-24,0,186,3,15,60,12
faith,baseline,7,17,0,23,16,60,-21,0,201,3,15,60,12
faith,baseline,7,18,0,22,16,64,-26,0,201,3,15,60,12
faith,baseline,19,1,3,13,16,60,-31,0,141,3,15,60,12
faith,baseline,19,2,0,18,16,59,-25,0,143,3,15,60,12
faith,baseline,19,3,0,16,16,58,-26,0,145,3,15,60,12
faith,baseline,19,4,0,18,16,60,-26,0,147,3,15,60,12
faith,baseline,19,5,0,17,16,66,-33,0,150,3,15,60,12
faith,baseline,19,6,0,20,16,64,-28,0,156,3,15,60,12
faith,baseline,19,7,0,20,16,64,-28,0,162,3,15,60,12
faith,baseline,19,8,0,19,16,64,-29,0,168,3,15,60,12
faith,baseline,19,9,0,22,16,64,-26,0,174,3,15,60,12
faith,baseline,19,10,0,21,16,66,-29,0,180,3,15,60,12
faith,baseline,19,11,0,26,16,64,-22,0,204,3,15,60,12
faith,baseline,19,12,0,24,16,64,-24,0,210,3,15,60,12
faith,baseline,19,13,75,21,16,64,-27,0,216,3,15,60,12
faith,baseline,19,14,33,24,16,64,-24,0,222,3,15,60,12
faith,baseline,19,15,0,24,16,64,-24,0,228,3,15,60,12
faith,baseline,19,16,0,24,16,64,-24,0,234,3,15,60,12
faith,baseline,19,17,0,24,16,64,-24,0,258,3,15,60,12
faith,baseline,19,18,0,24,16,64,-24,0,262,3,15,60,12
faith,baseline,19,19,0,23,16,64,-25,0,266,3,15,60,12
faith,baseline,19,20,0,26,16,64,-22,0,270,3,15,60,12
faith,baseline,19,21,0,24,16,64,-24,0,298,3,15,60,12
faith,baseline,19,22,0,24,16,64,-24,0,302,3,15,60,12
faith,baseline,19,23,0,23,16,64,-25,0,306,3,15,60,12
faith,baseline,42,1,47,20,16,54,-18,0,159,3,15,60,12
faith,baseline,42,2,28,20,16,54,-18,0,165,3,15,60,12
faith,baseline,42,3,0,23,16,54,-15,0,171,3,15,60,12
faith,baseline,42,4,0,20,16,54,-18,0,177,3,15,60,12
faith,baseline,42,5,39,20,16,53,-17,0,183,3,15,60,12
faith,baseline,42,6,0,20,16,53,-17,0,189,3,15,60,12
faith,baseline,42,7,0,20,16,53,-17,0,195,3,15,60,12
faith,baseline,42,8,44,18,16,55,-21,0,201,3,15,60,12
faith,baseline,42,9,18,19,16,61,-26,0,207,3,15,60,12
faith,baseline,42,10,0,20,16,61,-25,0,213,3,15,60,12
faith,baseline,42,11,0,21,16,61,-24,0,219,3,15,60,12
faith,baseline,42,12,0,21,16,64,-27,0,225,3,15,60,12
faith,baseline,42,13,0,20,16,65,-29,0,231,3,15,60,12
faith,baseline,42,14,0,18,16,64,-30,0,237,3,15,60,12
faith,baseline,42,15,0,20,16,64,-28,0,243,3,15,60,12
faith,baseline,42,16,0,20,16,63,-27,0,260,3,15,60,12
faith,baseline,42,17,0,23,16,63,-24,0,255,3,15,60,12
faith,baseline,42,18,0,21,16,64,-27,0,261,3,15,60,12
faith,baseline,42,19,0,20,16,64,-28,0,267,3,15,60,12
faith,baseline,42,20,0,22,16,64,-26,0,259,3,15,60,12
faith,baseline,42,21,0,20,16,64,-28,0,277,3,15,60,12
faith,baseline,42,22,0,20,16,64,-28,0,281,3,15,60,12
faith,baseline,42,23,0,20,16,64,-28,0,285,3,15,60,12
faith,baseline,42,24,0,20,16,60,-24,0,290,3,15,60,12
faith,baseline,42,25,0,20,16,60,-24,0,296,3,15,60,12
faith,baseline,42,26,0,20,16,60,-24,0,302,3,15,60,12
merchant,baseline,7,1,116,75,16,54,37,0,67,3,15,10,12
merchant,baseline,7,2,136,92,16,54,54,0,33,3,4,0,6
merchant,baseline,7,3,59,95,16,54,57,0,35,3,4,0,6
merchant,baseline,7,4,115,99,16,56,59,0,51,3,4,0,6
merchant,baseline,7,5,192,100,16,56,60,0,40,3,4,0,6
merchant,baseline,7,6,138,89,16,58,47,0,38,3,4,0,6
merchant,baseline,7,7,0,88,16,64,40,0,40,3,4,0,6
merchant,baseline,7,8,0,83,16,62,37,0,38,3,4,0,6
merchant,baseline,7,9,13,84,16,60,40,0,40,3,4,0,6
merchant,baseline,7,10,24,83,16,60,39,0,38,3,4,0,6
merchant,baseline,7,11,61,96,16,60,52,0,40,3,4,0,6
merchant,baseline,7,12,139,100,16,60,56,0,38,3,4,0,6
merchant,baseline,7,13,191,96,16,61,51,0,40,3,4,0,6
merchant,baseline,7,14,47,104,16,64,56,0,38,3,4,0,6
merchant,baseline,7,15,31,96,16,68,44,0,40,3,4,0,6
merchant,baseline,7,16,11,96,16,68,44,0,38,3,4,0,6
merchant,baseline,7,17,0,109,16,68,57,0,52,3,4,0,6
merchant,baseline,7,18,91,106,16,72,50,0,37,3,4,0,6
merchant,baseline,7,19,144,100,16,72,44,0,39,3,4,0,6
merchant,baseline,7,20,72,100,16,72,44,0,37,3,4,0,6
merchant,baseline,7,21,151,126,16,72,70,0,39,3,4,0,6
merchant,baseline,7,22,140,108,16,80,44,0,37,3,4,0,6
merchant,baseline,7,23,0,112,16,80,48,0,39,3,4,0,6
merchant,baseline,7,24,71,121,16,80,57,0,37,3,4,0,6
merchant,baseline,7,25,18,134,16,80,70,0,39,3,4,0,6
merchant,baseline,7,26,113,136,16,80,72,0,37,3,4,0,6
merchant,baseline,7,27,181,123,16,80,59,0,39,3,4,0,6
merchant,baseline,7,28,273,141,16,80,77,0,37,3,4,0,6
merchant,baseline,7,29,335,144,16,80,80,0,39,3,4,0,6
merchant,baseline,7,30,422,144,16,80,80,0,37,3,4,0,6
merchant,baseline,7,31,487,144,16,80,80,0,39,3,4,0,6
merchant,baseline,7,32,676,140,16,80,76,0,48,3,7,0,6
merchant,baseline,7,33,838,143,16,82,77,0,41,3,7,0,6
merchant,baseline,7,34,917,184,16,84,116,0,39,3,7,0,6
merchant,baseline,7,35,999,168,16,84,100,0,41,3,7,0,6
merchant,baseline,7,36,1120,172,16,84,104,0,39,3,7,0,6
merchant,baseline,7,37,1226,155,16,92,79,0,41,3,7,0,6
merchant,baseline,7,38,1342,173,16,92,97,0,39,3,7,0,6
merchant,baseline,7,39,1463,194,16,92,118,0,41,3,7,0,6
merchant,baseline,7,40,1594,180,16,92,104,0,39,3,7,0,6
merchant,baseline,7,41,1709,180,16,92,104,0,41,3,7,0,6
merchant,baseline,7,42,1871,219,16,92,143,0,39,3,7,0,6
merchant,baseline,7,43,1927,198,16,92,122,0,41,3,7,0,6
merchant,baseline,7,44,2122,176,16,92,100,0,39,3,7,0,6
merchant,baseline,7,45,2237,180,16,92,104,0,41,3,7,0,6
merchant,baseline,7,46,2383,195,16,92,119,0,39,3,7,0,6
merchant,baseline,7,47,2600,224,16,92,148,0,41,3,7,0,6
merchant,baseline,7,48,2392,170,16,92,94,0,39,3,7,0,6
merchant,baseline,7,49,2544,217,16,92,141,0,41,3,7,0,6
merchant,baseline,7,50,2697,202,16,92,126,0,39,3,7,0,6
merchant,baseline,7,51,2828,196,16,92,120,0,41,3,7,0,6
merchant,baseline,7,52,2855,210,16,92,134,0,39,3,7,0,6
merchant,baseline,7,53,2986,196,16,92,120,0,41,3,7,0,6
merchant,baseline,7,54,3255,203,176,100,279,0,39,3,7,0,6
merchant,baseline,7,55,3547,173,176,100,249,0,42,3,7,0,6
merchant,baseline,7,56,3910,200,176,100,276,0,40,3,7,0,6
merchant,baseline,7,57,4178,181,176,100,257,0,42,3,7,0,6
merchant,baseline,7,58,4471,211,176,100,287,0,40,3,7,0,6
merchant,baseline,7,59,4766,220,176,104,292,0,42,3,7,0,6
merchant,baseline,7,60,5085,252,176,104,324,0,40,3,7,0,6
merchant,baseline,7,61,5362,232,176,104,304,0,42,3,7,0,6
merchant,baseline,7,62,5843,246,176,104,318,0,45,3,8,0,6
merchant,baseline,7,63,6186,222,176,104,294,0,39,3,4,0,6
merchant,baseline,7,64,6671,250,176,104,322,0,45,3,8,0,6
merchant,baseline,7,65,7052,224,176,112,288,0,45,3,8,0,6
merchant,baseline,7,66,7394,224,176,112,288,0,39,3,4,0,6
merchant,baseline,7,67,7688,248,176,112,312,0,41,3,4,0,6
merchant,baseline,7,68,8021,238,176,108,306,0,39,3,4,0,6
merchant,baseline,7,69,8320,220,176,108,288,0,62,3,4,0,6
merchant,baseline,7,70,8685,223,176,112,287,0,39,3,4,0,6
merchant,baseline,7,71,8958,206,176,112,270,0,41,3,4,0,6
merchant,baseline,7,72,9351,224,176,112,288,0,39,3,4,0,6
merchant,baseline,7,73,9623,197,176,112,261,0,41,3,4,0,6
merchant,baseline,7,74,9965,250,176,111,315,0,39,3,4,0,6
merchant,baseline,7,75,10316,207,176,112,271,0,41,3,4,0,6
merchant,baseline,7,76,10585,199,176,114,261,0,39,3,4,0,6
merchant,baseline,7,77,10880,228,176,112,292,0,41,3,4,0,6
merchant,baseline,7,78,11301,229,176,112,293,0,39,3,4,0,6
merchant,baseline,7,79,11658,282,176,112,346,0,41,3,4,0,6
merchant,baseline,7,80,12114,290,176,112,354,0,39,3,4,0,6
merchant,baseline,7,81,12506,267,176,116,327,0,41,3,4,0,6
merchant,baseline,7,82,12859,283,176,125,334,0,39,3,4,0,6
merchant,baseline,7,83,13211,296,176,131,341,0,41,3,4,0,6
merchant,baseline,7,84,13649,304,176,138,342,0,39,3,4,0,6
